text,label
API returns 429 rate limit with light usage.,1
The product feels unfinished.,4
I was charged for a canceled seat pack.,0
Need to reset security questions and answers.,2
"Export tickets to JSONL, Parquet, and XLSX.",3
Two-way sync with Jira Data Center and Cloud.,3
Email on file is dead; need to change it.,2
Compact density mode for wide monitors.,3
Account lockout timer never counts down.,2
UI changes every week and slows our workflow.,4
The billing contact name is wrong on the PDF.,0
Escalations disappear with no feedback.,4
SMS codes arrive hours late or not at all.,2
Email verification link returns token invalid.,2
The receipt link returns 404.,0
The login captcha does not load.,1
Yesterday's outage cost us a client demo.,4
Accidentally created two profiles; please merge.,2
Push alerts stopped after updating to iOS 17.4.,1
Please support Jira integration.,3
The forgot-password email never arrives.,2
Slack notifications fire twice per event.,1
Wait times in the support queue are excessive.,4
SSO login loops after successful IdP authentication.,2
Switch my login email to the new corporate address.,2
Refund promised two weeks ago is still missing.,4
The new update broke keyboard shortcuts.,1
Agent workload forecast for the next 7 days.,3
Features change without notifying admins.,4
Battery drain spiked after the latest update.,1
Support Jira Cloud bi-directional sync.,3
Add our VAT number to future invoices.,0
Reply editor strips markdown formatting.,1
The page flickers and loses my draft.,1
Login says account not found for my email.,2
The New Ticket modal won't open.,1
Enable export to JSON.,3
The reports page times out with a 504 error.,1
The statement includes a support fee we never agreed to.,0
Currency flipped from EUR to GBP without notice.,0
The account recovery form will not submit.,2
Bulk assign tickets based on tag or queue.,3
The PDF export is blank.,1
Timezone keeps reverting to UTC.,2
The renewal charge is higher than the signed quote.,0
Payment failed once but you still marked it paid.,0
Scheduled exports never arrive by email.,1
Org list empty even though I'm invited.,2
Can you support a Jira integration?,3
Reports page throws 504 after 30 seconds.,1
The invoice currency switched to USD without approval.,0
My account email has a typo from signup.,2
Please unlock my account due to suspicious activity.,2
Dashboard stays blank in Chrome 123 until a hard refresh.,1
The password rules reject my new password.,2
The app crashes when I attach a video.,1
The receipt email went to the wrong address.,0
The receipt PDF does not show our company name.,0
Notifications stopped arriving on iOS.,1
Uploads fail at 60 percent and restart.,1
No one owns the issue; it's constant hand-offs.,4
The Mark as solved action does nothing.,1
"We need an itemized invoice, not summary only.",0
I never receive the 2FA code by SMS.,2
Renewal price is higher than the contract we signed.,0
Session expires every 5 minutes without warning.,1
"We need quarterly billing, not monthly.",0
The agent ended the chat without warning.,4
I'm unable to change the primary email.,2
Session ends whenever VPN reconnects.,2
I keep getting signed out after verification.,2
Downtime alerts never reached our inbox.,4
"Sales promised price protection, but the rate increased.",0
We need scheduled downtime banners.,3
The team invite just spins and will not accept.,2
"We require the invoice in GBP, not USD.",0
Password rules reject every combination I try.,2
Please reissue the invoice with our PO number.,0
Display name resets after I save edits.,2
The renewal amount is higher than what sales quoted.,0
Please remove me from an old company workspace.,2
The statement period overlaps with the previous bill.,0
We need a receipt for last month's payment.,0
The invoice says unpaid but the charge cleared.,0
Response time percentile charts per queue.,3
I've waited a week and still no human response.,4
"Replies feel like canned scripts, not real help.",4
I'm stuck on pending verification for days.,2
Prices keep rising while quality drops.,4
Auto-assign by round-robin within skill groups.,3
Org list is empty even though I'm invited.,2
The response time is unacceptable.,4
The New Ticket modal will not open.,1
Uploads fail halfway and restart.,1
Show agent workload forecast for the week.,3
The report builder fails to save.,1
Ticket merge action spins forever.,1
Charge succeeded but access downgraded to free.,0
Status updates via API never reflect in UI.,1
I need to export my account data for compliance.,2
My MFA app lost the token; need reset.,2
The web app is extremely slow at midday.,1
The mobile keyboard covers the reply box.,1
Never received backup codes after enabling MFA.,2
Saving a draft crashes Android on Pixel 7.,1
Our receipt is missing the company address.,0
I want to delete my account permanently.,2
Account deactivated while billing still charges us.,2
Custom fields with regex validation and defaults.,3
We're close to churning because trust is gone.,4
Invoice number duplicates a prior document.,0
We're forced to re-open tickets repeatedly.,4
Add webhooks for ticket status changes.,3
Inline code loses monospace font on send.,1
There is a setup fee I never agreed to.,0
We need a weekly SLA summary report.,3
My account is locked after too many attempts; please unlock.,2
Access denied on pages I could view last week.,2
Please backdate the invoice to the purchase date.,0
"The SLA claims are marketing fluff, not reality.",4
You promised a refund and it never arrived.,4
The UI lags on my MacBook Pro.,1
Payment cleared yet the account still says overdue.,0
No straight answer on when you'll fix this.,4
Renewal date moved earlier; we lose service time.,0
Localized knowledge base with per-language URLs.,3
Feels like we're beta testing half-finished features.,4
We were billed while the account was paused.,0
Add a mobile home-screen widget with open ticket count.,3
Need to change the country/region on my profile.,2
The dashboard loads as a white page.,1
Your roadmap shifts with no transparency.,4
Tax was applied even though we provided exemption status.,0
Assign button does nothing on ticket view.,1
Kanban view shows empty columns until reload.,1
Need itemized lines for each user and add-on.,0
"Shortcuts for assign, macro insert, and send.",3
The app won't connect over VPN.,1
Apply our credit memo before the next run.,0
Please transfer ownership to my teammate.,2
Account recovery form errors on submit.,2
I need to merge two accounts under one email.,2
My account shows the wrong company name.,2
Upgrading made the product less stable for us.,4
We want to customize the ticket ID prefix.,3
Add an exportable audit log for all admin actions.,3
On-call schedule with pager-style escalation.,3
Had to chase three times for a basic update.,4
Features removed without warning.,4
Webhooks only for comment-created events.,3
The app drains battery since the last update.,1
Voice calls cut out after one minute on Wi-Fi.,1
The billing page shows blank invoices.,0
Provide OAuth scopes for read-only integrations.,3
Add SAML JIT provisioning for new users.,3
Quiet hours toggle to silence notifications.,3
Company name is wrong on my profile and invoice.,2
The invite link expired before I accepted it.,2
Remove a stale workspace linked to my profile.,2
The mobile keyboard hides the reply box.,1
Response times fall far short of your SLA.,4
Please add an in-app changelog.,3
I need a W-9 and bank details for our vendor file.,0
My profile name won't edit.,2
Profile name won't stick after editing.,2
Role dropped from admin to viewer without change request.,2
Remove me from a former employer's workspace.,2
Knowledge base articles conflict with each other.,4
Allow scheduled reports via email.,3
Mobile keyboard covers the reply text area.,1
Still getting promo emails after opting out.,4
Profile name edit won't persist.,2
We were billed while the subscription was paused.,0
Voice note playback never starts on desktop.,1
Forgot my username; can't finish password reset.,2
Chat session ended without warning mid-issue.,4
There are three micro-charges for card verification.,0
Notifications spam us despite turning them off.,4
I had to chase three times to get a simple answer.,4
We want a mobile widget for open tickets.,3
The web app is very slow around noon.,1
I lost work because of your downtime.,4
iOS app ignores system font scaling.,1
The login page keeps looping back.,1
Can't revoke an old device in security settings.,2
CSV export completes but the file is empty.,1
AI reply suggestions that respect tone presets.,3
Hours lost because your fix introduced another bug.,4
Pin critical tickets to the top of views.,3
Why is there a foreign transaction fee on this charge?,0
Chat widget fails to open on Safari 17.,1
Presence shows offline while connected.,1
Disable 2FA temporarily so I can log in.,2
Pending verification email never arrives.,2
We were billed for 25 seats but have 18.,0
Product quality has visibly regressed.,4
The chat agent ended the session without warning.,4
Attach voice notes directly in the ticket.,3
Three follow-ups needed before anyone acts.,4
The billing address update will not save.,0
I need a copy of the W-9 for vendor setup.,0
Webhooks for SLA breached and approaching events.,3
App asks for captcha on every page load.,2
Keyboard shortcuts stopped working.,1
Notifications arrive hours late.,1
The ticket got closed with no resolution.,4
I need a receipt for last month's payment.,0
I need a corrected invoice for accounting.,0
We want to pin important tickets.,3
Why was my card charged at 3 AM?,0
Search returns empty results for known ticket IDs.,1
Dashboard widgets show no data.,1
Exportable audit log with IP and user agent.,3
Inline code snippets lose monospace styling.,1
Temporarily disable MFA so I can get back in.,2
We need the invoice reissued with our PO number.,0
You billed us for SMS credits we didn't consume.,0
Incident alerts arrive hours late.,4
OAuth scopes limited to read-only analytics.,3
I had to chase support for basic answers.,4
My timezone update won't save.,2
Help center links are broken throughout.,4
The web app crashes when I open reports.,1
Send automatic reminders for overdue tickets.,3
My display name reverts after saving.,2
The payment went through but access was cut off.,0
AI summary sometimes replaces my draft text.,1
Teams adaptive card notifications with actions.,3
Article images fail to render on slow networks.,1
My card is expiring; how do I update without downtime?,0
The invoice PDF is missing our company address.,0
My session expires immediately after login.,1
I shouldn't have to beg for basic support.,4
Overall support experience has been terrible.,4
The new update broke features we rely on.,4
My MFA app lost the token; please reset.,2
CSAT trends by customer segment over time.,3
The billing portal won't load our invoices.,0
Your outages cost us a full day of work.,4
Service went down twice today during peak hours.,4
CSV exports complete but download empty files.,1
Let customers see a public status page inside the portal.,3
My account is stuck in a verification loop.,2
I want to delete my account and purge personal data.,2
Security questions get brushed off casually.,4
Add a compact density mode for power users.,3
The invoice number on the PDF is wrong.,0
Need to rotate all API tokens for my user.,2
Cost center code missing on the invoice.,0
The UI is confusing and slows my team down.,4
Chat widget will not open in Safari private windows.,1
An outage yesterday cost our team a full workday.,4
Docs are outdated and contradict the product.,4
Search filters reset after each query.,1
Pending invites can't be cancelled.,2
Allow custom fields with validation rules.,3
Link previews in tickets no longer render.,1
Invoice lists 60 seats but we only have 34 users.,0
The dashboard loads as a white page on Chrome.,1
I'm frustrated that this bug is still open.,4
The comment box will not accept emojis.,1
The billing cycle should align to the first of each month.,0
Account suspended without any warning.,2
The file uploader rejects PNG files.,1
Email replies create duplicate tickets in queue.,1
