text,label
The invoice shows a late fee we don't recognize.,0
We were charged for a seat we never activated.,0
Please issue a refund for the duplicate charge.,0
Our receipt is missing the company address.,0
The billing portal won't load our invoices.,0
Your system charged the old card on file.,0
We need the invoice reissued with our PO number.,0
The plan price changed without notice mid-cycle.,0
I was billed for two months in advance by mistake.,0
Please send a statement of account for Q1.,0
The renewal amount is higher than what sales quoted.,0
We were billed while the subscription was paused.,0
My invoice is in USD; we require GBP.,0
The proration after upgrade looks incorrect.,0
The receipt email never arrived for last month.,0
We need a consolidated invoice for all workspaces.,0
The discount code was accepted but not applied.,0
"Your charge shows as ""pending"" for three days.",0
Please backdate the invoice to the purchase date.,0
We were billed after canceling on the 15th.,0
The VAT number is missing from the invoice PDF.,0
Can you split payment across two cards?,0
The invoice number on the PDF is wrong.,0
"I need an itemized invoice, not a summary.",0
The billing cycle should start on the 1st.,0
Our nonprofit discount isn't reflected.,0
Why did my plan switch from monthly to annual?,0
The billing address update won't save.,0
We need a copy of the W-9 for vendor onboarding.,0
The statement shows a foreign transaction fee.,0
We were charged for an add-on we never enabled.,0
Please apply our credit balance to the next bill.,0
The invoice says unpaid but the charge cleared.,0
The tax rate looks wrong for our state.,0
The billing email needs to be finance@company.com.,0
We need a receipt for last month's payment.,0
"The invoice shows 12 months, but we're monthly.",0
There are three small test charges on my card.,0
Please remove the late fee; we paid on time.,0
The payment failed but you marked it paid.,0
The billing portal is blank when I open invoices.,0
We were billed for 25 seats but have 18.,0
The receipt PDF is missing our company name.,0
The invoice link says expired.,0
I need a corrected invoice for accounting.,0
Your system won't accept our PO number.,0
The charge description on my statement is unfamiliar.,0
Please resend the invoice to our finance team.,0
We were billed twice for the same invoice.,0
The plan price on the invoice is incorrect.,0
Please switch this subscription back to monthly.,0
My card expires soon; where do I update it?,0
The refund you promised hasn't posted.,0
I was charged during the free trial period.,0
The invoice shows the wrong plan tier.,0
Our tax ID is not printed on the invoice.,0
The payment went through but access was cut off.,0
"We need the invoice in EUR, not USD.",0
Please consolidate multiple subscriptions into one bill.,0
I was charged for a canceled seat pack.,0
The receipt email went to the wrong address.,0
The billing contact name is wrong on the PDF.,0
The app freezes on the login screen.,1
Saving a ticket crashes the Android app.,1
The dashboard loads as a white page.,1
CSV export completes but the file is empty.,1
Notifications stopped arriving on iOS.,1
The ticket list duplicates items.,1
Search returns zero results for existing tickets.,1
Uploads fail halfway and restart.,1
The reports page times out with 504.,1
The login page loops back to itself.,1
The app logs me out every few minutes.,1
The inbox badge count is incorrect.,1
The Assign button is unresponsive.,1
The app drains battery after the last update.,1
Audio calls are choppy and drop out.,1
The chat widget won't open in Safari.,1
The export button disappeared after the update.,1
The settings page shows raw JSON.,1
The mobile keyboard covers the reply box.,1
The app says offline even on Wi-Fi.,1
Images in the knowledge base won't load.,1
The API returns 500 errors for ticket search.,1
The page flickers and loses my draft.,1
Keyboard shortcuts stopped working.,1
The login captcha won't load.,1
My session expires immediately after login.,1
The status dropdown is empty.,1
The app won't rotate to landscape.,1
Notifications are delayed by hours.,1
The web app is very slow around noon.,1
PDF exports are blank.,1
The app crashes when I attach a video.,1
Call quality is tinny and cuts out.,1
Attachment downloads fail every time.,1
The New Ticket modal won't open.,1
Search filters reset after each query.,1
Mark as solved does nothing.,1
The inbox spins forever on Firefox.,1
The app won't stay signed in on Android.,1
Dashboard charts show zeros.,1
The report builder fails to save.,1
Today's tickets are missing.,1
The composer won't paste text.,1
Audio playback won't start.,1
Large report exports time out.,1
The update installs but the app won't open.,1
The help widget overlaps the footer.,1
The uploader rejects PNG files.,1
The ticket page scroll jumps to the top.,1
Invite links show invalid token.,1
The app freezes when switching tabs.,1
The calendar view is empty.,1
The reply editor strips formatting.,1
I keep getting a network error.,1
The notifications badge never clears.,1
Dashboard widgets show no data.,1
The web app crashes when I open reports.,1
The UI is laggy on my MacBook Pro.,1
Sync is stuck at 60 percent for hours.,1
The comment box won't accept emojis.,1
Attachment previews never load.,1
The app won't connect over VPN.,1
The login field rejects uppercase letters.,1
I'm locked out after too many failed attempts.,2
The password reset link says it's already used.,2
I never receive the 2FA code on my phone.,2
Please update my login email to a new address.,2
My account was suspended without a reason.,2
I need to merge two accounts under one email.,2
I forgot my username and cannot sign in.,2
Verification keeps looping back to login.,2
Remove an old device from my trusted list.,2
I lost access to admin settings.,2
My account was deactivated by mistake.,2
I need to change the phone number for 2FA.,2
The system says my email is already in use.,2
I want to delete my account permanently.,2
I'm stuck on pending verification for days.,2
Please unlock my account; it says suspicious activity.,2
My recovery email is no longer accessible.,2
Login says account not found for my email.,2
I can't enable two-factor authentication.,2
The invite link expired before I could accept.,2
Please transfer ownership to my teammate.,2
I saw a login from a country I don't recognize.,2
I need to reset my security questions.,2
My role changed from admin to viewer.,2
The team invite just spins and won't accept.,2
Remove my account from an old company workspace.,2
My profile photo won't update.,2
I need a list of active sessions for my account.,2
I lost access to the email tied to this account.,2
The sign-in page keeps asking for captcha.,2
SMS verification codes never arrive.,2
Disable 2FA temporarily so I can log in.,2
I'm seeing access denied on pages I used to view.,2
My account shows the wrong company name.,2
The login code goes to the wrong phone.,2
The password rules won't accept my new password.,2
My timezone update won't save.,2
My account email has a typo from signup.,2
SSO login keeps redirecting in a loop.,2
I can't remove an old admin from the workspace.,2
I'm getting duplicate invites to the same team.,2
I created two profiles by mistake; please merge.,2
I need to export all account data.,2
The email verification link is broken.,2
My display name reverts after saving.,2
The account lockout timer doesn't reset.,2
My MFA app lost the token; need reset.,2
The forgot-password email never arrives.,2
I'm stuck on the consent screen after login.,2
My account is missing from the org list.,2
The updated terms button is disabled.,2
I keep getting signed out after verification.,2
The invite says invalid even though it's new.,2
I'm unable to change the primary email.,2
The login field is case-sensitive and fails.,2
Please remove the old workspace from my profile.,2
I'm locked out after changing my email.,2
My profile name won't edit.,2
The account recovery form won't submit.,2
I need to rotate API keys for my account.,2
My account shows duplicate organizations.,2
I cannot accept the team invite in the app.,2
My account is stuck in a verification loop.,2
Add a bulk close option for old tickets.,3
Can you support a Jira integration?,3
I want a dark mode for the web app.,3
We need export to JSON.,3
Please add custom fields to tickets.,3
Add keyboard shortcuts for navigation.,3
We need a weekly SLA report.,3
Allow filtering by multiple tags.,3
Add role-based permissions for billing.,3
Please add a pause notifications toggle.,3
We need an API endpoint for ticket export.,3
Allow scheduled reports via email.,3
Enable custom branding on the login page.,3
We want a mobile widget for open tickets.,3
Add saved searches to the inbox.,3
Please add Spanish localization.,3
We need an approval workflow for refunds.,3
Allow exporting attachments with tickets.,3
Add a follow feature for ticket updates.,3
Please support SAML SSO.,3
Add webhooks for status changes.,3
We need a priority queue view.,3
Allow bulk assignment by tag.,3
Add duplicate ticket detection.,3
We want a customizable dashboard layout.,3
Add a response time analytics chart.,3
Please add overdue ticket reminders.,3
We need a multi-language knowledge base.,3
Allow custom email templates per brand.,3
Add an audit log export option.,3
We need a sandbox environment.,3
Add quick actions on hover in the ticket list.,3
Please add a read-only auditor role.,3
We want to pin important tickets.,3
Support custom SLAs per customer.,3
Allow importing tickets from CSV.,3
Add a merge tickets tool.,3
We need a report for agent workload.,3
Add a subscribe to updates option.,3
Please support RTL languages.,3
We need scheduled downtime banners.,3
Allow filtering by last reply time.,3
Please add an in-app changelog.,3
We want to customize the ticket ID prefix.,3
Add auto-assign via round robin.,3
Please provide a public status page.,3
We need OAuth for third-party apps.,3
Add export to PDF.,3
Please support custom notification sounds.,3
We want internal notes per ticket.,3
Allow multiple assignees per ticket.,3
Add a snooze ticket feature.,3
We need a report on ticket reopen rates.,3
Add work hours per agent.,3
Please allow IP-based access restrictions.,3
We want a compact list view.,3
Add native Google Calendar integration.,3
Please support Microsoft Teams integration.,3
We need an on-call rotation feature.,3
Add export for chat transcripts.,3
I've waited a week with no reply.,4
Your service went down twice this morning.,4
The last update made the app worse.,4
Support keeps closing my ticket without solving it.,4
The UI is confusing and slows my team down.,4
I still get marketing emails after opting out.,4
The agent was rude and unhelpful.,4
You promised a refund and nothing happened.,4
Your outages cost us a full day of work.,4
This is my third time reporting the same issue.,4
Your documentation is outdated and misleading.,4
The response time is unacceptable.,4
I regret upgrading; the product is unstable now.,4
Your status page said all good but it wasn't.,4
I'm frustrated that this bug is still open.,4
Billing support is impossible to reach.,4
I had to chase support for basic answers.,4
The chat agent disappeared mid-conversation.,4
This experience has been terrible so far.,4
You keep changing features without notice.,4
I feel ignored by your support team.,4
The product doesn't meet your promises.,4
Your team keeps sending canned responses.,4
I wasted hours dealing with this issue.,4
The last fix broke something else.,4
Your pricing keeps increasing without added value.,4
I keep getting bounced between departments.,4
The service is unreliable during peak hours.,4
I can't get a straight answer from anyone.,4
Your updates are too frequent and disruptive.,4
My urgent ticket was marked low priority.,4
Your advertised support SLA isn't real.,4
I shouldn't have to contact you three times.,4
The app quality has dropped noticeably.,4
The queue times are ridiculous.,4
Your team doesn't read the ticket details.,4
I feel like I'm beta testing your releases.,4
The agent ended the chat without warning.,4
My issue keeps getting reassigned.,4
This was a waste of time.,4
Your help center articles don't match the product.,4
The onboarding was chaotic and confusing.,4
I lost work because of your downtime.,4
The system is too slow to be usable.,4
Support keeps asking for the same info.,4
Your reps aren't trained on the product.,4
I'm disappointed by the lack of communication.,4
The experience has been consistently poor.,4
You broke our workflow with the last change.,4
I can't rely on this service anymore.,4
Your notifications spam me daily.,4
The ticket got closed with no resolution.,4
I feel stuck and nobody is helping.,4
The product feels unfinished.,4
Your platform is full of bugs.,4
